Transaction_ID,Date,Category,Subcategory,Amount,Type,Payment_Method,Merchant,Location,Description,Monthly_Budget,Balance
1,2026-01-02,Food,Restaurant,3954,Expense,Debit Card,"Galvan, Boyd and Riddle",New Lawrenceport,Test information.,47003,75157
2,2025-01-26,Bills,Water,2319,Expense,Cash,"Adams, Goodman and Mueller",Christianview,Arrive recent our improve.,35767,55302
3,2026-05-09,Bills,Electricity,3857,Expense,UPI,"Odom, Bowman and Ward",New Laurenhaven,Plan worry call material.,42552,2160
4,2025-12-09,Bills,Internet,357,Expense,Debit Card,"Allen, Hamilton and Evans",Mendozaview,Hot skill specific.,7582,85124
5,2025-10-20,Income,Salary,9441,Income,UPI,"Wong, Alvarado and Villegas",Valenzuelastad,Woman price control.,48056,31554
6,2026-03-20,Education,Stationery,2732,Expense,Credit Card,Brown-Rogers,South Jamesmouth,Foot low then purpose.,33283,87771
7,2025-07-12,Transport,Bus,4122,Expense,Cash,Roberts PLC,New Ericaberg,Teacher law add.,29992,12980
8,2025-01-09,Medical,Doctor,1899,Expense,Credit Card,Jones-Beck,New Jacqueline,Happen this office.,29270,5132
9,2025-02-22,Entertainment,Games,1470,Expense,Credit Card,"Bell, Tyler and Miller",East David,Receive cut church tax.,16390,55713
10,2025-10-30,Travel,Tour,1793,Expense,Credit Card,"Clark, Gallagher and Morales",North Ricardoside,Consumer reduce course.,30031,80571
11,2025-10-31,Bills,Water,3694,Expense,UPI,"Fisher, Richmond and Cruz",East Peter,Again name.,46459,94936
12,2025-10-12,Income,Salary,27516,Income,Bank Transfer,"Wilkerson, Lamb and Henderson",Wendystad,Ok space.,28001,4759
13,2025-09-23,Travel,Tour,3157,Expense,UPI,"Mcclure, Terry and Martin",Osbornport,Hard call natural play.,25900,33875
14,2025-03-27,Bills,Internet,342,Expense,Credit Card,Crawford-Gardner,Jasonburgh,Way describe Mrs.,27665,56509
15,2025-11-04,Shopping,Clothes,4524,Expense,Bank Transfer,Hess-Pugh,New Matthew,Body trial chance.,14547,1070
16,2025-07-18,Shopping,Electronics,1436,Expense,Credit Card,Carrillo LLC,Petersberg,Trial usually.,49087,35935
17,2025-03-19,Bills,Internet,122,Expense,UPI,Foley LLC,Mistystad,Under name listen hear reflect.,44662,73461
18,2025-05-14,Transport,Bus,4832,Expense,Credit Card,Bryant-Martinez,East Jessicaton,New deal expect clearly number.,7617,84025
19,2025-03-31,Medical,Doctor,3474,Expense,Debit Card,"Barker, Newman and Dennis",Patrickside,Low suffer financial.,48729,9981
20,2025-10-22,Shopping,Electronics,4118,Expense,UPI,Gonzales PLC,West Markfurt,Perhaps themselves next less.,16180,46971
21,2025-04-12,Transport,Fuel,435,Expense,UPI,Lester LLC,Benjaminhaven,Month plant window president position.,37488,49597
22,2025-06-07,Travel,Hotel,3769,Expense,UPI,Cole-Smith,South Alexanderstad,Why marriage reach unit.,7048,76585
23,2025-12-02,Medical,Doctor,230,Expense,Bank Transfer,"Anderson, Anderson and Johnson",East Edward,Protect himself.,9238,35655
24,2025-06-23,Transport,Taxi,3166,Expense,Bank Transfer,Cunningham and Sons,Annaland,Entire financial hand forget month.,44451,76611
25,2025-07-10,Entertainment,Streaming,2595,Expense,UPI,Hampton-Lopez,Davistown,Leg across fire by.,24200,31079
26,2025-09-15,Travel,Flight,889,Expense,Credit Card,Moreno Ltd,North Donaldport,Computer interest pressure not reach.,15024,53358
27,2026-02-18,Shopping,Accessories,638,Expense,Bank Transfer,Robertson PLC,Michaelshire,Economic stuff world.,20866,42630
28,2025-05-20,Travel,Hotel,2778,Expense,Debit Card,Wise-Hill,Kimberlyborough,Despite interesting society.,10570,12358
29,2026-02-05,Travel,Tour,1367,Expense,Credit Card,"Mooney, Cruz and Parker",Shanetown,Partner itself.,40896,86598
30,2025-06-26,Education,Stationery,1383,Expense,UPI,Lewis Group,Douglasport,However finish machine debate computer.,12655,1885
31,2026-01-12,Bills,Electricity,3474,Expense,Debit Card,"Hernandez, Moore and Ortiz",Lake Mariestad,Election much today.,45927,14902
32,2026-03-07,Food,Restaurant,2429,Expense,Cash,Conner-Diaz,Smithview,Cup evening firm tree.,48516,11972
33,2025-03-12,Shopping,Electronics,2705,Expense,Cash,"Allen, Beck and Bradley",Flynnberg,Place safe pattern six.,44059,68743
34,2026-01-16,Transport,Bus,4506,Expense,Debit Card,"Black, Harris and Meyer",Lake Jamesland,Dinner sort camera.,44446,36627
35,2025-07-14,Food,Groceries,2153,Expense,Credit Card,Reynolds PLC,West Amandachester,Green ever director.,27222,65008
